#  steam engine parameter table
#   drvr    cyl-size   #   PSI   Adh   Tot   Tnd  Grate  BlrLn  BlrDi  BlrVol Pipe  Whyte    Name 
    10.0, 13.7, 12.0,  2,  200,    0,    0,    0, 100.0,   0.0,   0.0,    100, 8.0, _,       catskill
    63.0  22.0, 30.0,  2,  200,  100,  111,    0,  49.5,     0,     0,       0 8.0, 2-8-0,   lab_test

    36.0, 13.0, 18.0,  2,  180,   24,   34,    0,   9.0,  11.0,  40.0,      0, 8.0, 2-6-2T,  NA_2-6-2

    50.0, 20.0, 26.0,  2,  200,   77,   77,   10,  63.0,     0,    .0,      0, 8.0, 0-6-0,   B-8
    61.5, 27.0, 32.0,  2,  220,  132,  146,   90,  95.0,  13.5,  88.0,    756, 8.0, 2-8-0,   I-10sa
    61.5, 30.5, 32.0,  2,  220,  160,  200,  115, 108.0,  22.2, 100.0,      0, 8.0, 2-10-2,  K-1

    68.0, 23.8, 32.0,  4,  300,  270,  380,  170, 150.0,  18.0,  95.0,      0, 8.0, 4-8-8-4, BigBoy
    70.0, 27.0, 32.0,  2,  240,  126,  200,   90,  95.0,  13.5,  88.0,      0, 8.0, 4-8-4,   T-1
    70.0, 27.0, 32.0,  2,  320,  160,  247,  189, 107.7,   0.0,   0.0,      0, 8.0, 4-8-4,   N&W

    80.0, 25.0, 28.0,  2,  200,   90,  140,   90,  95.0,  19.0,  80.0,      0, 8.0, 4-6-2,   G-1sas
    80.0, 26.0, 28.0,  2,  225,   86,  187,  138,  80.0,  19.0,  80.0,      0, 8.0, F-6,     MILW_F-6
    84.0, 19.0, 28.0,  2,  300,   74,  140,  123,  69.0,  19.0,  80.0,      0, 8.0, 4-4-2,   MILW_4-4-2
    84.0, 23.5, 30.0,  2,  300,  108,  207,  187,  96.5,  19.0,  82.5,      0, 8.0, F-7,     MILW_F-7
